0,跳蛋,1000,增加敏感度,使用时小穴敏感度+5,持续30分钟
1,按摩棒,3000,强烈震动,使用时绝顶感+20,持续15分钟
2,阴蒂夹,1000,刺激阴蒂,使用时阴蒂敏感度+10,持续60分钟
3,飞机杯,4000,模拟性交,使用时阴道性交经验+5,可重复使用
4,振动棒,1500,阴道震动,使用时小穴敏感度+8,持续20分钟
5,肛门振动棒,1500,肛门刺激,使用时肛门敏感度+10,持续20分钟
6,肛珠,1500,肛门扩张,使用时肛门大小+1,永久效果
7,打气筒,2000,胸部扩张,使用时胸部大小+2,持续24小时
8,扩张气球,2000,小穴扩张,使用时小穴大小+2,持续12小时
9,灌肠器+肛塞,2000,肛门清洁,使用时肛门紧致度-3,肛门清洁度+20
10,乳头夹,1000,乳头刺激,使用时乳头敏感度+15,持续30分钟
11,榨乳机,1500,促进泌乳,使用时母乳量+10,持续6小时
12,穿戴式阴茎,1500,模拟插入,使用时阴道性交经验+3,可重复使用
13,鞭子,1000,SM工具,使用时被虐欲+5,羞辱经验+5
14,针,2000,穿刺工具,使用时皮肤敏感度+10,疼痛耐性-5
15,眼罩,1500,剥夺视觉,使用时依赖度+3,服从度+5
16,绳子,1000,束缚工具,使用时束缚经验+10,服从度+8
17,口球,1000,剥夺语言,使用时口交经验+5,服从度+10
18,相机,3000,拍摄照片,拍摄羞耻照片时羞耻心-5,可重复使用
19,游戏坐垫,2000,增加舒适度,使用时高潮次数容易+1,可重复使用
20,裸体围裙,5000,羞耻服装,穿着时露出欲+10,羞耻心-8
21,肛门电极,5000,电击刺激,使用时肛门敏感度+20,被虐欲+10
22,CCD相机套装,20000,偷拍摄影,偷拍成功时掌握把柄,可重复使用
23,小型麦克风,2500,录音设备,录音成功时掌握把柄,可重复使用
24,润滑剂,200,减少摩擦,使用时疼痛-10,快感+5
25,媚药,1000,增强欲望,使用时欲望+20,理性-15
26,利尿剂,1000,增加尿意,使用时尿意+50,持续1小时
27,胶卷,30,相机消耗品,拍摄照片必需品,消耗品
28,避孕套,100,避孕措施,使用时受孕率-90,消耗品
29,低温蜡烛,2000,SM玩法,使用时被虐欲+8,疼痛耐性-3
30,排卵诱发剂,2000,促进排卵,使用时受孕率+30,持续24小时
31,避孕药,2000,避孕药物,使用时受孕率-95,持续24小时
32,彩色糖果,50000,NTR消除,使用时NTR进度-20,堕落度-15
33,黑色糖果,5000,NTR促进,使用时NTR进度+10,堕落度+8
34,钻石,100000,贵重礼物,赠送时好感度+50,可重复使用
35,结婚戒指,100000,婚姻象征,佩戴时忠诚度+30,关系固定
40,学生制服套装,5000,标准校服,性感度+5,防御+10
41,运动服套装,3000,宽松舒适,性感度+2,行动+5
42,晚礼服,15000,高贵典雅,性感度+25,气质+20
43,女仆装,8000,侍奉专用,性感度+15,侍奉欲+10
44,护士服,10000,医疗专用,性感度+18,治愈+15
45,巫女服,12000,神圣庄严,性感度+12,神圣度+20
46,泳装,4000,海边专用,性感度+30,露出度+25
47,情趣内衣套装,6000,闺房专用,性感度+40,欲望+20
48,SM皮革套装,20000,调教专用,性感度+35,被虐欲+25
49,cosplay服装,8000,角色扮演,性感度+20,扮演度+15
50,婚纱,30000,婚礼专用,性感度+50,纯洁度+30
51,丧服,10000,葬礼专用,性感度+5,庄严度+20
52,体操服,3500,运动专用,性感度+12,灵活性+10
53,和服,18000,传统服饰,性感度+22,传统度+25
54,浴衣,8000,夏日祭典,性感度+18,清凉度+15
55,睡衣,2500,睡眠专用,性感度+8,舒适度+20
56,裸体围裙,5000,厨房专用,性感度+45,羞耻心-15
57,透明连衣裙,12000,若隐若现,性感度+38,神秘感+20
58,开衩旗袍,15000,中式性感,性感度+32,优雅度+18
59,兔女郎装,10000,夜店专用,性感度+42,娱乐度+25
60,学生泳装,4500,学校泳池,性感度+28,青春度+20
61,比基尼,5000,沙滩专用,性感度+35,露出度+30
62,办公室套装,9000,职场专用,性感度+15,专业度+20
63,朋克风格,12000,叛逆风格,性感度+25,叛逆度+30
64,洛丽塔风格,14000,可爱风格,性感度+20,可爱度+25
65,哥特风格,16000,黑暗风格,性感度+28,神秘度+35
66,民族服装,11000,文化风格,性感度+18,文化度+25
67,未来风格,18000,科技风格,性感度+30,科技感+40
68,复古风格,13000,怀旧风格,性感度+22,怀旧度+28
69,运动内衣套装,4000,健身专用,性感度+15,活力+20
70,透明雨衣,7000,雨天专用,性感度+25,湿身效果+30
