; 学院地图系统
; 地图区块定义
0,学院入口
;,,0:通往教学楼
;,,1:通往宿舍区
;,,2:通往图书馆
;,,3:通往操场
;,,4:通往食堂
;----------------------------------------------------------
1,教学楼区域
;,,0:1楼走廊
;,,1:2楼走廊
;,,2:3楼走廊
;,,3:教师办公室
;,,4:空教室
;,,5:化学实验室
;,,6:生物实验室
;,,7:美术教室
;,,8:音乐教室
;----------------------------------------------------------
2,宿舍区域
;,,0:女生宿舍楼
;,,1:男生宿舍楼
;,,2:留学生宿舍
;,,3:宿舍管理员室
;,,4:公共浴室
;,,5:洗衣房
;,,6:宿舍天台
;,,7:宿舍走廊
;----------------------------------------------------------
3,图书馆
;,,0:一楼阅览室
;,,1:二楼自习室
;,,2:地下书库
;,,3:管理员办公室
;,,4:古籍区
;,,5:杂志区
;,,6:电子阅览区
;----------------------------------------------------------
4,操场区域
;,,0:田径场
;,,1:篮球场
;,,2:排球场
;,,3:足球场
;,,4:器材室
;,,5:看台
;,,6:更衣室
;----------------------------------------------------------
5,食堂区域
;,,0:一楼大厅
;,,1:二楼包间
;,,2:厨房
;,,3:员工休息室
;,,4:后厨
;,,5:储藏室
;----------------------------------------------------------
6,体育馆
;,,0:主体育馆
;,,1:健身房
;,,2:游泳馆
;,,3:淋浴间
;,,4:器材仓库
;,,5:更衣室
;----------------------------------------------------------
7,学生会大楼
;,,0:学生会办公室
;,,1:会议室
;,,2:活动室
;,,3:档案室
;,,4:会长办公室
;----------------------------------------------------------
8,社团活动区
;,,0:摄影社
;,,1:文学社
;,,2:美术社
;,,3:音乐社
;,,4:茶道社
;,,5:空手道部
;,,6:篮球部
;----------------------------------------------------------
9,医务室区域
;,,0:医务室
;,,1:药品仓库
;,,2:隔离病房
;,,3:护士休息室
;----------------------------------------------------------
10,校长办公楼
;,,0:校长办公室
;,,1:副校长办公室
;,,2:教务处
;,,3:财务处
;,,4:档案室
;----------------------------------------------------------
11,实验楼
;,,0:物理实验室
;,,1:化学实验室
;,,2:生物实验室
;,,3:计算机房
;,,4:材料仓库
;----------------------------------------------------------
12,花园庭院
;,,0:中央喷泉
;,,1:玫瑰园
;,,2:樱花道
;,,3:凉亭
;,,4:小树林
;----------------------------------------------------------
13,停车场
;,,0:教师停车场
;,,1:学生停车场
;,,2:访客停车场
;,,3:自行车棚
;----------------------------------------------------------
14,校门周边
;,,0:正门
;,,1:侧门
;,,2:后门
;,,3:围墙
;,,4:便利店
;----------------------------------------------------------
15,屋顶天台
;,,0:教学楼天台
;,,1:宿舍天台
;,,2:图书馆天台
;,,3:体育馆天台
;----------------------------------------------------------
16,地下区域
;,,0:地下通道
;,,1:废弃教室
;,,2:锅炉房
;,,3:配电室
;,,4:秘密房间
;----------------------------------------------------------
17,特殊区域
;,,0:魔物出没点
;,,1:退魔师据点
;,,2:神秘祭坛
;,,3:封印之地
;----------------------------------------------------------
